node,role,final_sample_support,seen_support,heldout_support,class_support,epoch_persistence,sample_concentration,initial_attention_mass,final_attention_mass,peak_attention_mass,peak_snapshot_index,peak_snapshot,peak_epoch
evidence_node_000,watchlist,5,1,4,3,1.0,0.2,0.026125162839889526,0.015012776479125023,0.029786646366119385,1,epoch_01_batch_001,1
evidence_node_001,sample_specific,0,0,0,0,0.2631578947368421,0.0,0.02221449837088585,7.950526924105361e-05,0.03514799848198891,1,epoch_01_batch_001,1
evidence_node_002,stable_shared,15,10,5,4,1.0,0.06666666666666667,0.058335501700639725,0.04999682679772377,0.058335501700639725,0,epoch_00_initial,0
evidence_node_003,sample_specific,2,1,1,2,1.0,0.5,0.01891518011689186,0.0073604583740234375,0.02128581330180168,2,epoch_01_batch_002,1
evidence_node_004,watchlist,7,6,1,3,1.0,0.14285714285714285,0.02842828258872032,0.018823958933353424,0.02842828258872032,0,epoch_00_initial,0
evidence_node_005,watchlist,7,6,1,5,1.0,0.14285714285714285,0.03429722785949707,0.020247317850589752,0.03533494472503662,2,epoch_01_batch_002,1
evidence_node_006,stable_shared,8,6,2,2,1.0,0.125,0.031129108741879463,0.025202661752700806,0.033140987157821655,2,epoch_01_batch_002,1
evidence_node_007,stable_shared,26,18,8,1,1.0,0.038461538461538464,0.07399575412273407,0.0888461023569107,0.08910705149173737,8,epoch_04_end,4
evidence_node_008,stable_shared,29,20,9,1,1.0,0.034482758620689655,0.07661298662424088,0.09683123230934143,0.09689648449420929,7,epoch_03_end,3
evidence_node_009,stable_shared,27,16,11,2,1.0,0.037037037037037035,0.05150029808282852,0.08681168407201767,0.08762034773826599,7,epoch_03_end,3
evidence_node_010,stable_shared,25,15,10,1,1.0,0.04,0.06051747500896454,0.08263064920902252,0.08461169898509979,7,epoch_03_end,3
evidence_node_011,sample_specific,0,0,0,0,0.2631578947368421,0.0,0.02488592453300953,0.00033975334372371435,0.033179134130477905,2,epoch_01_batch_002,1
evidence_node_012,sample_specific,0,0,0,0,0.21052631578947367,0.0,0.016814786940813065,6.424775347113609e-05,0.022809244692325592,1,epoch_01_batch_001,1
evidence_node_013,sample_specific,1,1,0,1,0.2631578947368421,1.0,0.019554875791072845,0.003379323985427618,0.025144722312688828,1,epoch_01_batch_001,1
evidence_node_014,stable_shared,30,20,10,1,1.0,0.03333333333333333,0.08626116067171097,0.09839735925197601,0.09840421378612518,17,epoch_13_end,13
evidence_node_015,stable_shared,24,16,8,1,1.0,0.041666666666666664,0.06501281261444092,0.07661372423171997,0.07661372423171997,18,epoch_14_end,14
evidence_node_016,stable_shared,23,16,7,1,1.0,0.043478260869565216,0.05041740462183952,0.07309429347515106,0.07309429347515106,18,epoch_14_end,14
evidence_node_017,stable_shared,20,16,4,4,1.0,0.05,0.07428978383541107,0.06564615666866302,0.07428978383541107,0,epoch_00_initial,0
evidence_node_018,sample_specific,0,0,0,0,0.2631578947368421,0.0,0.010489160194993019,0.00014694457058794796,0.0198993943631649,4,epoch_01_batch_008,1
evidence_node_019,watchlist,5,2,3,2,1.0,0.2,0.022318176925182343,0.015883954241871834,0.022318176925182343,0,epoch_00_initial,0
evidence_node_020,stable_shared,19,11,8,1,1.0,0.05263157894736842,0.03945989906787872,0.060293957591056824,0.060293957591056824,18,epoch_14_end,14
evidence_node_021,stable_shared,10,8,2,3,1.0,0.1,0.03827851265668869,0.03328689560294151,0.039759404957294464,1,epoch_01_batch_001,1
evidence_node_022,sample_specific,0,0,0,0,0.15789473684210525,0.0,0.014004501514136791,1.926228651427664e-05,0.01962168887257576,1,epoch_01_batch_001,1
evidence_node_023,stable_shared,25,18,7,1,1.0,0.04,0.056141532957553864,0.08099095523357391,0.08099095523357391,18,epoch_14_end,14
